Movie_ID,Year,Name,anos_80,anos_90,mais_antigo,notas_recebidas,nota_media,coeficiente_popularidade
3,1997,Character,0,1,0,1524,3.6213910761154855,0.47093755187611847
8,2004,What the #$*! Do We Know!?,0,0,0,9379,3.1367949674805415,0.4354533480170024
16,1996,Screamers,0,1,0,2517,3.081843464441796,0.40494148483415804
17,2005,7 Seconds,0,0,0,4165,2.9099639855942376,0.3884674255976786
18,1994,Immortal Beloved,0,1,0,9419,3.7675974094914535,0.5167146452070058
26,2004,Never Die Alone,0,0,0,4262,2.752229000469263,0.36851325815755764
28,2002,Lilo and Stitch,0,0,0,32397,3.8085933882766922,0.6004938915508764
30,2003,Something's Gotta Give,0,0,0,77502,3.709813940285412,0.7418966581632923
32,2004,ABC Primetime: Mel Gibson's The Passion of the Christ,0,0,0,1629,4.088397790055248,0.5313559054199103
33,2000,Aqua Teen Hunger Force: Vol. 1,0,0,0,5314,4.127211140383892,0.5489377337951183
44,1996,Spitfire Grill,0,1,0,7188,3.6723706176961604,0.4968454964516508
45,1999,The Love Letter,0,1,0,2313,2.975789018590575,0.3906053158665306
46,1964,Rudolph the Red-Nosed Reindeer,0,0,1,5671,3.7612414036325164,0.5030917616245787
47,1952,The Bad and the Beautiful,0,0,1,2058,3.23955296404276,0.4236555606888507
48,2001,Justice League,0,0,0,3049,3.6920301738274843,0.48523246016332416
52,2002,The Weather Underground,0,0,0,3550,3.7087323943661974,0.4890921800256966
55,1995,Jade,0,1,0,2126,2.9896519285042333,0.3917492549668607
56,2004,Carandiru,0,0,0,1249,3.599679743795036,0.46720578753480796
57,1995,Richard III,0,1,0,3124,3.6827784891165174,0.484298889073074
58,1996,Dragonheart,0,1,0,16116,3.5915860014892034,0.5169596778185963
68,2004,Invader Zim,0,0,0,1617,4.111317254174397,0.5342624740843162
76,1952,I Love Lucy: Season 2,0,0,1,2656,4.071159638554217,0.5326478470093535
77,1995,Congo,0,1,0,12571,2.8265849972158144,0.4064644844277422
78,1996,Jingle All the Way,0,1,0,4294,2.880763856544015,0.3851528729401205
79,1956,The Killing,0,0,1,2834,3.770289343683839,0.49456244415583384
83,1983,Silkwood,1,0,0,16704,3.7179717432950192,0.5352225417758093
84,2002,The Powerpuff Girls Movie,0,0,0,2318,3.203192407247627,0.41986771433048725
97,2002,Mostly Martha,0,0,0,7470,3.8311914323962517,0.5182342039280915
104,1965,The Great Race,0,0,1,3011,3.6751909664563267,0.4829370149971647
108,2004,Spartan,0,0,0,14479,3.1782581670004832,0.4582104692371588
110,1989,Scandal,1,0,0,1863,3.034353193773484,0.39659951206183236
111,2003,Duplex (Widescreen),0,0,0,22657,3.0794015094672726,0.4734380276140787
118,1985,Rambo: First Blood Part II,1,0,0,17728,3.423341606498195,0.5008301121034017
122,2002,Cube 2: Hypercube,0,0,0,2809,2.9024563901744393,0.3828689802909508
127,1987,Fatal Beauty,1,0,0,2796,2.6216022889842634,0.346705195919653
133,2003,Viva La Bam: Season 1,0,0,0,2032,3.628444881889764,0.4735803492975371
138,1995,Star Trek: Voyager: Season 1,0,1,0,4790,3.9068893528183715,0.5188128455411958
143,1997,The Game,0,1,0,33906,3.8360172240901314,0.6091764157713481
148,2001,Sweet November,0,0,0,19633,3.279834971731269,0.488883024894598
152,1995,A Little Princess,0,1,0,7886,3.905782399188435,0.5292483199915177
156,1992,Husbands and Wives,0,1,0,7107,3.463768115942029,0.46974133192094414
165,1982,Richard Pryor: Live on the Sunset Strip,1,0,0,4031,3.9265690895559415,0.5187505574822847
166,1980,Fame,1,0,0,8693,3.554354077993788,0.4868099291063494
167,2004,The Chorus,0,0,0,5269,4.021446194723857,0.5351820376420454
171,1957,Funny Face,0,0,1,5392,3.755378338278932,0.5013845043537959
173,1968,The Devil's Brigade,0,0,1,1990,3.5150753768844223,0.458856915198701
175,1992,Reservoir Dogs,0,1,0,65466,3.9996028472795038,0.7380427338303549
178,1996,Regular Guys,0,1,0,1252,3.3905750798722045,0.4403240377275264
180,2002,Scratch,0,0,0,1706,3.783118405627198,0.49235839167305345
181,2004,The Last Shot,0,0,0,2810,2.604270462633452,0.34452406115802486
185,1985,Missing in Action 2: The Beginning / Missing in Action 3: Braddock,1,0,0,2192,3.0296532846715327,0.39711914390108805
187,2002,Death to Smoochy,0,0,0,17696,3.0107933996383363,0.4476648322026694
188,2005,Dead Birds,0,0,0,1733,2.7899596076168494,0.3647250049225855
189,1982,Airplane II: The Sequel,1,0,0,13404,3.330572963294539,0.47412612305733354
191,2003,X2: X-Men United,0,0,0,73684,3.9291569404484012,0.757060734150896
197,2004,Taking Lives,0,0,0,52920,3.438529856386999,0.6230208584560537
199,1978,The Deer Hunter,0,0,1,29692,3.879597197898424,0.6003834295945671
201,2001,Home Movie,0,0,0,1989,3.38763197586727,0.44246358249800527
208,1947,The Three Stooges: Sing a Song of Six Pants,0,0,1,2081,3.3565593464680443,0.4387818013967965
209,1996,Star Trek: Deep Space Nine: Season 5,0,1,0,3751,4.1167688616368965,0.5422546332656415
213,2001,Dinner Rush,0,0,0,2547,3.446800157047507,0.4519794033454482
215,1998,That '70s Show: Season 1,0,1,0,5014,4.036098923015556,0.5361952219880503
216,2000,Impostor,0,0,0,7608,3.216482649842271,0.43965079623785575
223,2003,Chappelle's Show: Season 1,0,0,0,17704,4.21639177586986,0.6027386882231152
225,2004,The Cookout,0,0,0,4595,2.713601741022851,0.36468331425163314
232,1989,Gross Anatomy,1,0,0,4791,3.166562304320601,0.4236061680634706
238,1976,Led Zeppelin: The Song Remains the Same,0,0,1,1886,3.6638388123011665,0.47763337614785845
239,2004,Winnie the Pooh: Springtime with Roo,0,0,0,1649,3.747725894481504,0.4876119748517759
240,1942,Woman of the Year,0,0,1,4566,3.956855015330705,0.5244733807367933
241,1959,North by Northwest,0,0,1,32928,4.1432215743440235,0.6453431220495808
242,1995,Neon Genesis Evangelion: The End of Evangelion,0,1,0,1773,3.8629441624365484,0.5028533322330099
248,2001,Michael Moore's The Awful Truth: Season 2,0,0,0,4798,3.6054606085869114,0.48007479879768017
252,2002,Stuart Little 2,0,0,0,19996,3.3434186837367474,0.4983004674860032
253,1935,A Night at the Opera,0,0,1,4175,4.085269461077845,0.5396522826765257
255,2001,The Hunchback of Notre Dame II,0,0,0,4083,3.107274063188832,0.4135624148594799
256,2000,Ghost Dog: The Way of the Samurai,0,0,0,10689,3.4198708953129384,0.4763342188329245
257,1973,Charlotte's Web,0,0,1,23935,3.8956340087737624,0.582776408227681
262,1974,Herbie Rides Again,0,0,1,3685,3.691723202170963,0.48736594798234395
268,1980,The Final Countdown,1,0,0,4824,3.7029436152570483,0.49270047679797235
269,1989,Parenthood,1,0,0,20007,3.7435397610836207,0.5497958019099523
270,2001,Sex and the City: Season 4,0,0,0,25157,4.284771634137615,0.6369967295384704
273,2004,Taxi,0,0,0,20457,3.3391015300386178,0.49932031670989313
275,2002,Evelyn,0,0,0,7652,3.6059853633037116,0.4898932994218599
281,1993,The Legend,0,1,0,2743,3.772876412686839,0.4945842435235224
283,1996,If These Walls Could Talk,0,1,0,5567,3.7070235315250586,0.49576371993897506
285,1997,The Devil's Own,0,1,0,12932,3.306371790906279,0.46940107889417176
289,1998,The Avengers,0,1,0,4097,2.321698804002929,0.3125809868038973
290,2004,Harold and Kumar Go to White Castle,0,0,0,32583,3.580394684344597,0.5717817843440225
295,1995,Ace Ventura: When Nature Calls,0,1,0,26314,3.2856274226647413,0.5124543589979252
297,2003,The Hebrew Hammer,0,0,0,1446,2.8257261410788383,0.3683442080835638
